"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Avg Std of Start Time","Avg Std of End Time","Avg Std of Duration","Avg Std of Peak Time","Avg Std of Price","Avg Std of Distance","Avg Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","1 Hour","Within","10 Weeks","3/8",18,83,14,15,13,0.318,0.34,0.094,0.094,1.399,0.683,0.634,68.1,43
"20%","1 Hour","Within","10 Weeks","3/8",22,85,16,17,16,0.3258,0.3505,0.1039,0.1002,1.4459,0.9338,0.6928,66.54,45.95
"30%","1 Hour","Within","10 Weeks","3/8",23,86,18,17,17,0.3296,0.3566,0.1098,0.1035,1.4678,1.0865,0.7245,65.82,47.31
"40%","1 Hour","Within","10 Weeks","3/8",24,86,18,18,17,0.332,0.361,0.114,0.106,1.485,1.197,0.744,65.4,48.1
"50%","1 Hour","Within","10 Weeks","3/8",24,87,19,18,18,0.334,0.365,0.117,0.107,1.495,1.282,0.758,65.1,48.5
"10%","1.5 Hours","Within","10 Weeks","3/8",21,84,16,16,15,0.421,0.437,0.096,0.107,1.704,0.696,0.643,67.9,45.2
"20%","1.5 Hours","Within","10 Weeks","3/8",24,87,18,19,18,0.435,0.453,0.106,0.113,1.735,0.947,0.701,66.4,48.6
"30%","1.5 Hours","Within","10 Weeks","3/8",26,88,20,20,19,0.441,0.462,0.112,0.116,1.75,1.106,0.732,65.7,50.1
"40%","1.5 Hours","Within","10 Weeks","3/8",26,88,21,20,20,0.446,0.468,0.116,0.118,1.759,1.221,0.752,65.3,51
"20%","1.5 Hours","Within","6 Weeks","2/8",39,99,35,32,32,0.5446,0.5636,0.1006,0.1049,1.4771,0.9697,0.6069,71.72,45.74
"50%","1.5 Hours","Within","10 Weeks","3/8",27,89,21,21,20,0.449,0.472,0.12,0.12,1.767,1.31,0.767,65,51.5
"10%","2 Hours","Within","10 Weeks","3/8",22,85,16,17,16,0.505,0.518,0.097,0.115,1.904,0.697,0.646,67.9,46.4
"20%","2 Hours","Within","10 Weeks","3/8",26,88,20,20,19,0.524,0.539,0.107,0.121,1.928,0.951,0.705,66.4,50.1
"30%","2 Hours","Within","10 Weeks","3/8",27,89,21,21,20,0.5342,0.5511,0.1128,0.124,1.9355,1.1118,0.7368,65.7,51.81
"40%","2 Hours","Within","10 Weeks","3/8",28,89,22,22,21,0.5407,0.5587,0.1171,0.126,1.9407,1.2276,0.756,65.29,52.82
"50%","2 Hours","Within","10 Weeks","3/8",28,90,23,22,21,0.546,0.564,0.121,0.128,1.946,1.317,0.771,65,53.4
"10%","2.5 Hours","Within","10 Weeks","3/8",22,86,17,18,16,0.572,0.584,0.098,0.121,2.036,0.699,0.649,67.9,47.3
"20%","2.5 Hours","Within","10 Weeks","3/8",26,88,20,21,19,0.5985,0.6116,0.1074,0.1267,2.0517,0.9535,0.7076,66.42,51.15
"30%","2.5 Hours","Within","10 Weeks","3/8",28,89,22,22,21,0.6121,0.6264,0.1134,0.1299,2.0562,1.1137,0.7392,65.72,52.95
"40%","2.5 Hours","Within","10 Weeks","3/8",29,90,23,22,22,0.62,0.636,0.118,0.132,2.059,1.231,0.759,65.3,54
"30%","1.5 Hours","Within","6 Weeks","2/8",41,99,37,34,34,0.5559,0.5765,0.1071,0.108,1.4966,1.1402,0.6338,71.09,47.05
"50%","2.5 Hours","Within","10 Weeks","3/8",29,90,24,23,22,0.628,0.643,0.122,0.134,2.062,1.319,0.774,65,54.7
"10%","1 Hour","Across","12 Weeks","3/8",23,87,18,18,17,0.3629,0.3856,0.0933,0.0879,1.3259,0.7053,0.6455,69.25,39.92
"20%","1 Hour","Across","12 Weeks","3/8",27,89,21,21,20,0.371,0.396,0.106,0.092,1.337,0.935,0.697,68,43
"30%","1 Hour","Across","12 Weeks","3/8",28,90,23,22,21,0.376,0.404,0.112,0.095,1.347,1.083,0.729,67.3,44.4
"40%","1 Hour","Across","12 Weeks","3/8",29,91,24,22,22,0.379,0.409,0.116,0.097,1.356,1.192,0.748,66.9,45.1
"50%","1 Hour","Across","12 Weeks","3/8",29,91,24,23,22,0.381,0.412,0.119,0.098,1.366,1.281,0.764,66.6,45.6
"10%","1.5 Hours","Across","12 Weeks","3/8",26,89,21,21,19,0.499,0.516,0.095,0.101,1.616,0.714,0.651,69.4,42.8
"20%","1.5 Hours","Across","12 Weeks","3/8",30,91,25,24,23,0.514,0.534,0.108,0.104,1.606,0.951,0.704,68.1,46.3
"30%","1.5 Hours","Across","12 Weeks","3/8",32,92,27,25,25,0.522,0.544,0.113,0.107,1.606,1.101,0.736,67.4,47.9
"40%","1.5 Hours","Across","12 Weeks","3/8",33,92,28,26,26,0.528,0.552,0.117,0.109,1.611,1.218,0.756,66.9,48.8
"40%","1.5 Hours","Within","6 Weeks","2/8",42,99,38,34,35,0.5629,0.5847,0.1122,0.1103,1.5121,1.2681,0.653,70.68,47.82
"50%","1.5 Hours","Across","12 Weeks","3/8",34,93,29,27,26,0.533,0.557,0.121,0.111,1.616,1.311,0.773,66.6,49.4
"10%","2 Hours","Across","12 Weeks","3/8",28,90,23,23,21,0.617,0.631,0.096,0.111,1.827,0.727,0.655,69.4,44.5
"20%","2 Hours","Across","12 Weeks","3/8",33,92,27,26,25,0.639,0.655,0.108,0.115,1.805,0.962,0.708,68.1,48.3
"30%","2 Hours","Across","12 Weeks","3/8",35,93,29,28,27,0.652,0.67,0.114,0.117,1.804,1.117,0.741,67.4,50.1
"40%","2 Hours","Across","12 Weeks","3/8",36,93,31,28,28,0.661,0.681,0.118,0.12,1.804,1.236,0.763,66.9,51.1
"50%","2 Hours","Across","12 Weeks","3/8",37,94,32,29,29,0.668,0.688,0.122,0.122,1.807,1.332,0.781,66.5,51.8
"10%","2.5 Hours","Across","12 Weeks","3/8",29,91,24,24,22,0.721,0.733,0.097,0.119,1.978,0.742,0.659,69.4,45.7
"20%","2.5 Hours","Across","12 Weeks","3/8",34,93,29,27,26,0.751,0.764,0.11,0.123,1.954,0.975,0.712,68.1,49.7
"30%","2.5 Hours","Across","12 Weeks","3/8",36,93,31,29,28,0.768,0.783,0.115,0.126,1.952,1.132,0.746,67.3,51.7
"40%","2.5 Hours","Across","12 Weeks","3/8",37,94,33,30,29,0.78,0.796,0.12,0.128,1.95,1.252,0.767,66.9,52.8
"30%","1 Hour","Across","6 Weeks","2/8",43,99,40,36,36,0.4517,0.4841,0.1058,0.0931,1.2134,1.1741,0.6224,71.57,37.5
"50%","1.5 Hours","Within","6 Weeks","2/8",42,99,39,35,35,0.5682,0.5912,0.1172,0.1126,1.5299,1.3876,0.6692,70.34,48.34
"50%","2.5 Hours","Across","12 Weeks","3/8",38,94,34,31,30,0.789,0.804,0.124,0.13,1.949,1.347,0.785,66.5,53.6
"10%","1 Hour","Within","12 Weeks","3/8",15,74,11,12,11,0.315,0.336,0.096,0.097,1.466,0.709,0.657,67.2,45.6
"20%","1 Hour","Within","12 Weeks","3/8",18,77,14,14,13,0.3221,0.3473,0.1059,0.1029,1.513,0.9621,0.7176,65.63,48.65
"30%","1 Hour","Within","12 Weeks","3/8",20,78,15,15,14,0.3256,0.353,0.1118,0.106,1.5301,1.1125,0.7474,64.97,50.05
"40%","1 Hour","Within","12 Weeks","3/8",20,79,15,15,15,0.328,0.3571,0.1161,0.1083,1.5466,1.2229,0.768,64.52,50.9
"50%","1 Hour","Within","12 Weeks","3/8",21,79,16,16,15,0.3298,0.3602,0.1196,0.1102,1.5583,1.3125,0.7835,64.21,51.39
"10%","1.5 Hours","Within","12 Weeks","3/8",18,76,13,14,12,0.417,0.433,0.098,0.11,1.785,0.725,0.669,66.9,47.9
"20%","1.5 Hours","Within","12 Weeks","3/8",21,79,15,16,15,0.4285,0.447,0.1081,0.1158,1.8189,0.9814,0.7288,65.44,51.35
"30%","1.5 Hours","Within","12 Weeks","3/8",22,81,17,17,16,0.434,0.455,0.114,0.119,1.831,1.136,0.759,64.8,53
"40%","1.5 Hours","Within","12 Weeks","3/8",23,81,17,17,17,0.4382,0.4596,0.1184,0.1211,1.8417,1.2478,0.7799,64.33,53.96
"10%","2 Hours","Within","6 Weeks","2/8",36,99,32,31,29,0.6248,0.6397,0.0923,0.1074,1.5946,0.7219,0.5645,72.78,43.97
"50%","1.5 Hours","Within","12 Weeks","3/8",23,82,18,18,17,0.441,0.4634,0.122,0.1229,1.8465,1.3396,0.796,64.02,54.55
"10%","2 Hours","Within","12 Weeks","3/8",19,78,14,15,13,0.5,0.512,0.1,0.119,2.009,0.73,0.673,66.8,49.2
"20%","2 Hours","Within","12 Weeks","3/8",22,81,17,17,16,0.5161,0.5315,0.1094,0.1248,2.029,0.9861,0.7329,65.36,52.97
"30%","2 Hours","Within","12 Weeks","3/8",24,82,18,18,17,0.525,0.5418,0.1153,0.1279,2.0341,1.1412,0.7636,64.69,54.79
"40%","2 Hours","Within","12 Weeks","3/8",25,82,19,19,18,0.531,0.5485,0.1197,0.1299,2.041,1.2568,0.784,64.26,55.86
"50%","2 Hours","Within","12 Weeks","3/8",25,83,19,19,18,0.535,0.554,0.123,0.132,2.044,1.348,0.8,63.9,56.5
"10%","2.5 Hours","Within","12 Weeks","3/8",19,79,14,15,14,0.566,0.577,0.101,0.125,2.153,0.732,0.675,66.9,50.1
"20%","2.5 Hours","Within","12 Weeks","3/8",23,82,17,18,17,0.587,0.599,0.11,0.131,2.17,0.991,0.736,65.4,54.1
"30%","2.5 Hours","Within","12 Weeks","3/8",25,83,19,19,18,0.5992,0.6129,0.1164,0.1342,2.1718,1.1471,0.7673,64.71,56.04
"40%","2.5 Hours","Within","12 Weeks","3/8",25,84,20,20,19,0.6075,0.6219,0.1207,0.1361,2.1731,1.2642,0.788,64.26,57.16
"20%","2 Hours","Within","6 Weeks","2/8",40,99,36,34,33,0.655,0.6712,0.1017,0.1122,1.6176,0.9773,0.6104,71.64,47.11
"50%","2.5 Hours","Within","12 Weeks","3/8",26,84,20,20,19,0.6135,0.6288,0.1244,0.1379,2.1727,1.3573,0.8043,63.97,57.87
"10%","1 Hour","Across","6 Weeks","4/8",22,88,17,17,16,0.349,0.37,0.097,0.089,1.341,0.697,0.631,69.1,28.7
"20%","1 Hour","Across","6 Weeks","4/8",25,90,20,20,19,0.357,0.381,0.104,0.093,1.351,0.927,0.68,67.8,30.9
"30%","1 Hour","Across","6 Weeks","4/8",27,91,21,20,20,0.361,0.387,0.11,0.095,1.361,1.074,0.709,67.2,31.8
"40%","1 Hour","Across","6 Weeks","4/8",28,91,22,21,21,0.364,0.392,0.114,0.097,1.369,1.179,0.729,66.8,32.3
"50%","1 Hour","Across","6 Weeks","4/8",28,91,23,21,21,0.366,0.395,0.117,0.099,1.376,1.267,0.744,66.5,32.6
"10%","1.5 Hours","Across","6 Weeks","4/8",25,90,19,20,18,0.474,0.491,0.098,0.101,1.625,0.701,0.638,69.2,30.5
"20%","1.5 Hours","Across","6 Weeks","4/8",29,92,23,22,21,0.488,0.507,0.105,0.105,1.623,0.942,0.689,67.9,33
"30%","1.5 Hours","Across","6 Weeks","4/8",30,92,25,24,23,0.496,0.517,0.111,0.108,1.627,1.093,0.718,67.2,34
"40%","1.5 Hours","Across","6 Weeks","4/8",31,93,26,24,24,0.502,0.524,0.115,0.11,1.628,1.203,0.739,66.8,34.6
"30%","2 Hours","Within","6 Weeks","2/8",42,99,38,35,35,0.6703,0.6877,0.1082,0.1154,1.6368,1.1498,0.6377,71,48.57
"50%","1.5 Hours","Across","6 Weeks","4/8",32,93,26,25,24,0.506,0.529,0.119,0.111,1.631,1.294,0.755,66.5,35
"10%","2 Hours","Across","6 Weeks","4/8",26,91,21,21,19,0.582,0.595,0.099,0.11,1.827,0.708,0.642,69.2,31.7
"20%","2 Hours","Across","6 Weeks","4/8",31,92,25,24,23,0.604,0.618,0.107,0.115,1.821,0.95,0.693,67.9,34.2
"30%","2 Hours","Across","6 Weeks","4/8",32,93,27,26,25,0.616,0.633,0.112,0.117,1.818,1.102,0.723,67.2,35.4
"40%","2 Hours","Across","6 Weeks","4/8",33,94,28,26,26,0.625,0.642,0.116,0.119,1.814,1.214,0.744,66.8,36
"50%","2 Hours","Across","6 Weeks","4/8",34,94,29,27,26,0.63,0.649,0.12,0.121,1.815,1.305,0.76,66.5,36.4
"10%","2.5 Hours","Across","6 Weeks","4/8",27,92,22,22,20,0.674,0.685,0.099,0.117,1.969,0.711,0.645,69.2,32.4
"20%","2.5 Hours","Across","6 Weeks","4/8",32,93,26,25,24,0.704,0.716,0.107,0.122,1.961,0.955,0.697,67.8,35.1
"30%","2.5 Hours","Across","6 Weeks","4/8",34,94,28,27,26,0.7201,0.7341,0.1132,0.125,1.954,1.1081,0.7282,67.17,36.29
"40%","2.5 Hours","Across","6 Weeks","4/8",35,94,30,28,27,0.732,0.746,0.117,0.127,1.949,1.222,0.749,66.7,37
"40%","2 Hours","Within","6 Weeks","2/8",43,99,40,36,36,0.6802,0.6985,0.1135,0.118,1.6531,1.2809,0.6573,70.58,49.45
"50%","2.5 Hours","Across","6 Weeks","4/8",35,94,31,28,28,0.74,0.755,0.121,0.129,1.947,1.314,0.766,66.4,37.4
"10%","1 Hour","Within","6 Weeks","4/8",13,75,9,10,9,0.296,0.318,0.092,0.092,1.356,0.668,0.62,68.1,33.8
"20%","1 Hour","Within","6 Weeks","4/8",15,78,11,12,11,0.3037,0.3288,0.1024,0.0994,1.4186,0.9144,0.6813,66.46,35.47
"30%","1 Hour","Within","6 Weeks","4/8",16,79,12,12,12,0.308,0.335,0.108,0.103,1.449,1.068,0.715,65.7,36.2
"40%","1 Hour","Within","6 Weeks","4/8",17,80,13,13,12,0.31,0.339,0.112,0.105,1.464,1.171,0.735,65.3,36.6
"50%","1 Hour","Within","6 Weeks","4/8",17,81,13,13,13,0.311,0.342,0.116,0.107,1.473,1.248,0.75,65,36.9
"10%","1.5 Hours","Within","6 Weeks","4/8",14,77,10,11,10,0.391,0.407,0.095,0.106,1.675,0.688,0.635,67.6,34.7
"20%","1.5 Hours","Within","6 Weeks","4/8",17,80,13,13,12,0.403,0.422,0.105,0.113,1.736,0.945,0.698,66,36.7
"30%","1.5 Hours","Within","6 Weeks","4/8",19,82,14,14,13,0.409,0.4293,0.1112,0.1162,1.7581,1.1028,0.7297,65.23,37.54
"40%","1.5 Hours","Within","6 Weeks","4/8",19,82,14,15,14,0.413,0.435,0.115,0.118,1.768,1.209,0.75,64.8,38
"50%","2 Hours","Within","6 Weeks","2/8",44,99,40,36,37,0.6872,0.7065,0.1186,0.1203,1.6709,1.4039,0.674,70.23,50.03
"50%","1.5 Hours","Within","6 Weeks","4/8",20,83,15,15,14,0.416,0.438,0.119,0.12,1.775,1.293,0.767,64.5,38.3
"10%","2 Hours","Within","6 Weeks","4/8",15,79,11,12,11,0.465,0.478,0.096,0.114,1.887,0.694,0.64,67.5,35.3
"20%","2 Hours","Within","6 Weeks","4/8",18,82,14,14,13,0.482,0.497,0.107,0.121,1.943,0.955,0.704,65.8,37.4
"30%","2 Hours","Within","6 Weeks","4/8",20,83,15,15,14,0.4905,0.5067,0.1127,0.125,1.9613,1.1174,0.7368,65.02,38.33
"40%","2 Hours","Within","6 Weeks","4/8",21,83,16,16,15,0.4965,0.514,0.117,0.127,1.9652,1.2257,0.7577,64.63,38.84
"50%","2 Hours","Within","6 Weeks","4/8",21,84,16,16,16,0.501,0.519,0.12,0.129,1.969,1.309,0.774,64.3,39.2
"10%","2.5 Hours","Within","6 Weeks","4/8",16,80,12,13,11,0.524,0.535,0.097,0.12,2.031,0.698,0.645,67.3,35.7
"20%","2.5 Hours","Within","6 Weeks","4/8",19,83,14,15,14,0.546,0.559,0.108,0.128,2.086,0.962,0.709,65.7,37.9
"30%","2.5 Hours","Within","6 Weeks","4/8",21,84,15,16,15,0.557,0.571,0.114,0.131,2.099,1.127,0.742,64.9,38.9
"40%","2.5 Hours","Within","6 Weeks","4/8",21,84,16,16,16,0.565,0.58,0.118,0.133,2.101,1.237,0.763,64.5,39.4
"10%","2.5 Hours","Within","6 Weeks","2/8",37,99,33,31,30,0.7033,0.7168,0.093,0.1117,1.6763,0.7248,0.5661,72.75,44.7
"50%","2.5 Hours","Within","6 Weeks","4/8",22,85,17,17,16,0.57,0.585,0.122,0.135,2.103,1.32,0.779,64.3,39.8
"10%","1 Hour","Across","8 Weeks","4/8",21,83,16,16,15,0.35,0.372,0.094,0.091,1.399,0.704,0.654,68.5,31.9
"20%","1 Hour","Across","8 Weeks","4/8",24,85,18,18,17,0.356,0.381,0.108,0.095,1.412,0.941,0.705,67.2,34.5
"30%","1 Hour","Across","8 Weeks","4/8",25,86,20,19,19,0.36,0.387,0.113,0.098,1.422,1.09,0.734,66.5,35.5
"40%","1 Hour","Across","8 Weeks","4/8",26,87,21,20,19,0.363,0.391,0.117,0.1,1.428,1.199,0.755,66.2,36.1
"50%","1 Hour","Across","8 Weeks","4/8",26,87,21,20,20,0.365,0.394,0.12,0.101,1.434,1.285,0.771,65.8,36.5
"10%","1.5 Hours","Across","8 Weeks","4/8",23,85,18,18,17,0.476,0.492,0.096,0.104,1.709,0.718,0.661,68.5,34.1
"20%","1.5 Hours","Across","8 Weeks","4/8",27,88,21,21,20,0.488,0.507,0.109,0.108,1.706,0.96,0.712,67.3,36.9
"30%","1.5 Hours","Across","8 Weeks","4/8",29,89,23,22,21,0.495,0.516,0.114,0.111,1.704,1.113,0.742,66.6,38.1
"40%","1.5 Hours","Across","8 Weeks","4/8",30,89,24,23,22,0.501,0.523,0.118,0.112,1.702,1.22,0.763,66.2,38.8
"20%","2.5 Hours","Within","6 Weeks","2/8",41,99,37,35,34,0.741,0.7554,0.1025,0.1168,1.7007,0.9818,0.6124,71.6,48.02
"50%","1.5 Hours","Across","8 Weeks","4/8",30,90,25,23,23,0.504,0.527,0.121,0.114,1.701,1.311,0.779,65.9,39.2
"10%","2 Hours","Across","8 Weeks","4/8",25,86,19,20,18,0.584,0.597,0.097,0.114,1.925,0.731,0.665,68.5,35.4
"20%","2 Hours","Across","8 Weeks","4/8",29,89,23,23,22,0.603,0.619,0.11,0.118,1.906,0.971,0.716,67.3,38.3
"30%","2 Hours","Across","8 Weeks","4/8",31,90,25,24,23,0.615,0.632,0.115,0.12,1.895,1.126,0.746,66.6,39.6
"40%","2 Hours","Across","8 Weeks","4/8",32,90,26,25,24,0.624,0.641,0.119,0.122,1.889,1.236,0.767,66.2,40.4
"50%","2 Hours","Across","8 Weeks","4/8",33,91,27,25,25,0.629,0.647,0.123,0.124,1.886,1.327,0.783,65.9,40.9
"10%","2.5 Hours","Across","8 Weeks","4/8",26,88,20,21,19,0.677,0.687,0.098,0.121,2.068,0.734,0.668,68.5,36.3
"20%","2.5 Hours","Across","8 Weeks","4/8",30,90,24,24,23,0.705,0.718,0.11,0.125,2.049,0.977,0.721,67.3,39.3
"30%","2.5 Hours","Across","8 Weeks","4/8",32,91,26,25,24,0.72,0.734,0.116,0.128,2.037,1.132,0.751,66.6,40.7
"40%","2.5 Hours","Across","8 Weeks","4/8",33,91,28,26,26,0.732,0.746,0.12,0.13,2.03,1.244,0.772,66.2,41.5
"30%","2.5 Hours","Within","6 Weeks","2/8",43,99,39,36,36,0.7603,0.7758,0.1091,0.1202,1.7198,1.1561,0.6398,70.95,49.58
"50%","2.5 Hours","Across","8 Weeks","4/8",34,92,29,27,26,0.739,0.754,0.124,0.132,2.025,1.335,0.789,65.9,42
"10%","1 Hour","Within","8 Weeks","4/8",11,65,8,8,8,0.294,0.315,0.094,0.094,1.392,0.679,0.641,67.5,37.3
"20%","1 Hour","Within","8 Weeks","4/8",13,70,10,10,9,0.3,0.326,0.104,0.101,1.454,0.931,0.707,65.7,39.1
"30%","1 Hour","Within","8 Weeks","4/8",14,71,10,11,10,0.304,0.332,0.11,0.105,1.482,1.084,0.742,64.9,39.9
"40%","1 Hour","Within","8 Weeks","4/8",15,72,11,11,11,0.306,0.335,0.114,0.107,1.495,1.185,0.762,64.6,40.4
"50%","1 Hour","Within","8 Weeks","4/8",15,73,11,11,11,0.308,0.338,0.117,0.109,1.504,1.267,0.777,64.3,40.7
"10%","1.5 Hours","Within","8 Weeks","4/8",12,69,9,10,9,0.389,0.405,0.097,0.108,1.74,0.701,0.657,66.9,38.3
"20%","1.5 Hours","Within","8 Weeks","4/8",15,73,11,12,11,0.4,0.418,0.107,0.115,1.791,0.964,0.723,65.2,40.4
"30%","1.5 Hours","Within","8 Weeks","4/8",17,74,12,13,12,0.405,0.426,0.113,0.119,1.809,1.12,0.757,64.4,41.4
"40%","1.5 Hours","Within","8 Weeks","4/8",17,75,13,13,12,0.408,0.43,0.117,0.121,1.819,1.223,0.778,64.1,41.9
"40%","2.5 Hours","Within","6 Weeks","2/8",44,99,41,37,37,0.7722,0.7884,0.1145,0.1229,1.736,1.2885,0.6597,70.53,50.52
"50%","1.5 Hours","Within","8 Weeks","4/8",18,76,13,13,13,0.411,0.433,0.12,0.122,1.823,1.307,0.793,63.8,42.2
"10%","2 Hours","Within","8 Weeks","4/8",13,70,10,11,9,0.463,0.476,0.098,0.117,1.968,0.712,0.665,66.7,39
"20%","2 Hours","Within","8 Weeks","4/8",16,74,12,13,12,0.478,0.493,0.109,0.124,2.013,0.979,0.73,64.9,41.2
"30%","2 Hours","Within","8 Weeks","4/8",18,76,13,14,13,0.486,0.502,0.115,0.128,2.027,1.136,0.765,64.2,42.2
"40%","2 Hours","Within","8 Weeks","4/8",18,77,14,14,13,0.491,0.508,0.119,0.13,2.031,1.242,0.787,63.8,42.8
"50%","2 Hours","Within","8 Weeks","4/8",19,77,14,14,14,0.494,0.512,0.122,0.131,2.034,1.327,0.802,63.6,43.2
"10%","2.5 Hours","Within","8 Weeks","4/8",14,71,10,11,10,0.522,0.532,0.099,0.123,2.119,0.717,0.669,66.5,39.4
"20%","2.5 Hours","Within","8 Weeks","4/8",17,75,12,13,12,0.542,0.554,0.11,0.131,2.163,0.986,0.736,64.8,41.7
"30%","2.5 Hours","Within","8 Weeks","4/8",19,77,14,14,13,0.552,0.566,0.116,0.134,2.173,1.143,0.77,64.1,42.9
"40%","2.5 Hours","Within","8 Weeks","4/8",19,78,14,15,14,0.559,0.573,0.12,0.136,2.173,1.251,0.792,63.7,43.5
"40%","1 Hour","Across","6 Weeks","2/8",44,99,42,37,37,0.4556,0.4896,0.1111,0.0957,1.236,1.322,0.642,71.1,38.05
"50%","2.5 Hours","Within","6 Weeks","2/8",44,99,42,37,38,0.7804,0.7974,0.1197,0.1254,1.7552,1.4142,0.6768,70.17,51.16
"50%","2.5 Hours","Within","8 Weeks","4/8",20,78,15,15,14,0.563,0.578,0.123,0.138,2.175,1.339,0.807,63.5,43.9
"10%","1 Hour","Across","10 Weeks","4/8",20,78,15,15,14,0.354,0.376,0.096,0.094,1.466,0.726,0.669,68.1,35.4
"20%","1 Hour","Across","10 Weeks","4/8",23,81,17,17,16,0.36,0.384,0.104,0.097,1.472,0.962,0.72,66.8,38.2
"30%","1 Hour","Across","10 Weeks","4/8",24,82,19,18,18,0.364,0.391,0.11,0.1,1.482,1.114,0.749,66.1,39.4
"40%","1 Hour","Across","10 Weeks","4/8",25,83,19,19,18,0.366,0.395,0.114,0.102,1.486,1.222,0.769,65.8,40.1
"50%","1 Hour","Across","10 Weeks","4/8",25,84,20,19,19,0.368,0.397,0.117,0.103,1.492,1.307,0.784,65.5,40.5
"10%","1.5 Hours","Across","10 Weeks","4/8",22,81,17,18,16,0.481,0.497,0.098,0.107,1.785,0.744,0.676,68.1,37.9
"20%","1.5 Hours","Across","10 Weeks","4/8",26,84,20,20,19,0.493,0.513,0.106,0.11,1.765,0.973,0.725,67,41.1
"30%","1.5 Hours","Across","10 Weeks","4/8",28,85,22,21,20,0.5,0.521,0.112,0.113,1.762,1.13,0.755,66.3,42.5
"40%","1.5 Hours","Across","10 Weeks","4/8",29,86,23,22,21,0.504,0.526,0.116,0.114,1.757,1.237,0.775,65.9,43.3
"10%","1 Hour","Across","8 Weeks","2/8",28,96,24,23,21,0.3692,0.393,0.0921,0.0822,1.1682,0.6639,0.5888,71.08,34.22
"50%","1.5 Hours","Across","10 Weeks","4/8",29,86,23,22,22,0.508,0.53,0.119,0.116,1.754,1.326,0.79,65.6,43.8
"10%","2 Hours","Across","10 Weeks","4/8",24,83,18,19,17,0.589,0.603,0.099,0.116,2,0.755,0.679,68.2,39.5
"20%","2 Hours","Across","10 Weeks","4/8",28,85,22,22,21,0.609,0.625,0.107,0.12,1.975,0.985,0.729,67,42.9
"30%","2 Hours","Across","10 Weeks","4/8",30,86,24,23,22,0.62,0.638,0.113,0.122,1.962,1.14,0.759,66.3,44.3
"40%","2 Hours","Across","10 Weeks","4/8",31,87,25,24,23,0.628,0.646,0.117,0.124,1.95,1.247,0.779,66,45.2
"50%","2 Hours","Across","10 Weeks","4/8",31,88,26,24,24,0.633,0.651,0.12,0.126,1.944,1.338,0.795,65.7,45.7
"10%","2.5 Hours","Across","10 Weeks","4/8",25,84,19,20,18,0.683,0.694,0.099,0.124,2.151,0.763,0.683,68.2,40.5
"20%","2.5 Hours","Across","10 Weeks","4/8",29,87,23,23,22,0.71,0.723,0.108,0.128,2.121,0.995,0.732,67,44.1
"30%","2.5 Hours","Across","10 Weeks","4/8",31,88,25,24,23,0.725,0.74,0.114,0.13,2.105,1.151,0.763,66.4,45.7
"40%","2.5 Hours","Across","10 Weeks","4/8",32,88,26,25,24,0.736,0.751,0.118,0.132,2.088,1.258,0.783,66,46.6
"20%","1 Hour","Across","8 Weeks","2/8",32,97,27,26,25,0.3784,0.4073,0.0997,0.0864,1.1855,0.8969,0.6394,69.78,36.86
"50%","2.5 Hours","Across","10 Weeks","4/8",33,89,27,25,25,0.742,0.757,0.121,0.134,2.082,1.351,0.8,65.7,47.2
"10%","1 Hour","Within","10 Weeks","4/8",9,57,7,7,7,0.295,0.317,0.095,0.095,1.43,0.699,0.655,66.9,40.2
"20%","1 Hour","Within","10 Weeks","4/8",12,62,8,9,8,0.302,0.328,0.106,0.103,1.506,0.963,0.726,65,42.1
"30%","1 Hour","Within","10 Weeks","4/8",13,64,9,10,9,0.305,0.334,0.112,0.107,1.54,1.119,0.761,64.2,43
"40%","1 Hour","Within","10 Weeks","4/8",13,65,10,10,10,0.307,0.338,0.116,0.109,1.549,1.224,0.782,63.9,43.6
"50%","1 Hour","Within","10 Weeks","4/8",14,66,10,10,10,0.309,0.341,0.119,0.111,1.56,1.306,0.797,63.6,43.9
"10%","1.5 Hours","Within","10 Weeks","4/8",11,61,8,9,8,0.392,0.407,0.098,0.11,1.805,0.728,0.672,66.3,41.4
"20%","1.5 Hours","Within","10 Weeks","4/8",14,66,10,11,10,0.403,0.421,0.109,0.117,1.864,0.997,0.742,64.4,43.7
"40%","1.5 Hours","Within","10 Weeks","4/8",16,69,11,12,11,0.412,0.435,0.119,0.124,1.898,1.268,0.8,63.2,45.3
"30%","1 Hour","Across","8 Weeks","2/8",33,97,29,27,27,0.3836,0.4147,0.1053,0.0893,1.2007,1.0452,0.6672,69.09,37.98
"50%","1.5 Hours","Within","10 Weeks","4/8",16,69,12,12,12,0.415,0.438,0.123,0.125,1.903,1.351,0.815,63,45.7
"10%","2 Hours","Within","10 Weeks","4/8",12,63,8,10,8,0.469,0.481,0.1,0.12,2.058,0.739,0.681,66,42.1
"20%","2 Hours","Within","10 Weeks","4/8",15,68,11,12,11,0.485,0.499,0.111,0.128,2.115,1.017,0.752,64.1,44.6
"30%","2 Hours","Within","10 Weeks","4/8",16,70,12,12,12,0.492,0.509,0.117,0.132,2.135,1.179,0.787,63.4,45.7
