"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Avg Std of Start Time","Avg Std of End Time","Avg Std of Duration","Avg Std of Peak Time","Avg Std of Price","Avg Std of Distance","Avg Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","2.5 Hours","Across","12 Weeks","2/8",32,95,28,27,25,0.748,0.761,0.099,0.116,1.886,0.727,0.64,70,45.9
"20%","2.5 Hours","Across","12 Weeks","2/8",38,96,33,31,30,0.78,0.795,0.108,0.122,1.887,0.968,0.693,68.6,50.1
"30%","2.5 Hours","Across","12 Weeks","2/8",40,96,36,33,32,0.796,0.813,0.113,0.125,1.89,1.128,0.725,67.8,52.1
"40%","2.5 Hours","Across","12 Weeks","2/8",41,97,38,34,33,0.808,0.826,0.118,0.127,1.897,1.249,0.747,67.3,53.4
"40%","2 Hours","Across","6 Weeks","2/8",51,99,50,44,45,0.7683,0.7931,0.117,0.1218,1.6974,1.3912,0.6669,70.36,42.89
"50%","2.5 Hours","Across","12 Weeks","2/8",42,97,39,34,34,0.814,0.833,0.122,0.129,1.904,1.349,0.765,66.9,54.3
"10%","1 Hour","Within","12 Weeks","2/8",20,84,15,16,14,0.3242,0.3462,0.0947,0.0943,1.4034,0.6873,0.6361,68.14,46.58
"20%","1 Hour","Within","12 Weeks","2/8",23,86,18,18,17,0.332,0.357,0.104,0.1,1.444,0.934,0.693,66.7,50
"30%","1 Hour","Within","12 Weeks","2/8",24,87,19,19,18,0.3357,0.3624,0.11,0.1031,1.463,1.0908,0.7248,65.94,51.52
"40%","1 Hour","Within","12 Weeks","2/8",25,87,19,19,19,0.3383,0.367,0.1143,0.1052,1.4777,1.2024,0.7438,65.53,52.37
"50%","1 Hour","Within","12 Weeks","2/8",25,88,20,19,19,0.3403,0.3704,0.1176,0.1069,1.4879,1.2877,0.758,65.23,52.92
"10%","1.5 Hours","Within","12 Weeks","2/8",22,86,17,17,16,0.431,0.447,0.096,0.106,1.697,0.699,0.645,68,49.2
"20%","1.5 Hours","Within","12 Weeks","2/8",26,88,20,20,19,0.4449,0.4638,0.1058,0.1119,1.7218,0.9481,0.7013,66.63,53.07
"30%","1.5 Hours","Within","12 Weeks","2/8",27,89,21,21,20,0.452,0.472,0.112,0.115,1.734,1.107,0.733,65.9,54.8
"40%","1.5 Hours","Within","12 Weeks","2/8",28,89,22,21,21,0.4563,0.4782,0.1161,0.117,1.7429,1.2226,0.7519,65.51,55.81
"50%","2 Hours","Across","6 Weeks","2/8",52,99,51,45,46,0.7737,0.799,0.1222,0.1242,1.7205,1.5258,0.685,69.95,43.52
"50%","1.5 Hours","Within","12 Weeks","2/8",28,90,23,22,21,0.46,0.482,0.12,0.119,1.749,1.311,0.767,65.2,56.4
"10%","2 Hours","Within","12 Weeks","2/8",23,87,18,19,17,0.5181,0.5322,0.0973,0.1149,1.8943,0.698,0.6479,68.03,50.76
"20%","2 Hours","Within","12 Weeks","2/8",27,89,21,21,20,0.538,0.555,0.107,0.12,1.911,0.955,0.706,66.6,54.9
"30%","2 Hours","Within","12 Weeks","2/8",29,90,23,22,21,0.549,0.567,0.113,0.123,1.918,1.116,0.737,65.9,56.8
"40%","2 Hours","Within","12 Weeks","2/8",30,90,24,23,22,0.5563,0.5747,0.1172,0.1254,1.9226,1.2322,0.7563,65.5,57.9
