"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"30%","2 Hours","Across","6 Weeks","2/8",71,99,63,58,57,0.5095,0.5328,0.1214,0.1311,1.9009,1.4848,0.7167,70.19,49.9
"50%","1.5 Hours","Across","12 Weeks","2/8",64,95,54,49,48,0.4188,0.4441,0.1254,0.132,1.933,1.5507,0.7896,66.9,62.3
"10%","2 Hours","Across","12 Weeks","2/8",54,94,44,43,40,0.4351,0.4529,0.1019,0.1275,1.985,0.8842,0.6551,70.27,54.33
"20%","2 Hours","Across","12 Weeks","2/8",60,95,50,48,45,0.4598,0.4795,0.1123,0.1344,2.0624,1.1675,0.7171,68.66,59.57
"30%","2 Hours","Across","12 Weeks","2/8",63,95,53,49,47,0.4722,0.4932,0.1187,0.1381,2.0974,1.3392,0.7541,67.75,61.85
"40%","2 Hours","Across","12 Weeks","2/8",64,95,54,50,49,0.4805,0.5022,0.1234,0.1404,2.1178,1.466,0.7788,67.17,63.16
"50%","2 Hours","Across","12 Weeks","2/8",65,95,55,51,50,0.4862,0.5087,0.1272,0.1423,2.1349,1.5706,0.7969,66.75,64.1
"10%","2.5 Hours","Across","12 Weeks","2/8",55,94,45,44,40,0.474,0.491,0.103,0.132,2.104,0.889,0.657,70.2,55
"20%","2.5 Hours","Across","12 Weeks","2/8",61,95,51,48,46,0.502,0.5205,0.1132,0.1399,2.1864,1.1787,0.7199,68.56,60.4
"30%","2.5 Hours","Across","12 Weeks","2/8",64,95,53,50,48,0.5159,0.5354,0.1196,0.1438,2.2205,1.3519,0.7575,67.65,62.76
"40%","2.5 Hours","Across","12 Weeks","2/8",65,95,55,51,49,0.5251,0.5454,0.1244,0.1461,2.2397,1.4783,0.7824,67.06,64.13
"40%","2 Hours","Across","6 Weeks","2/8",73,99,65,59,59,0.5165,0.5414,0.1275,0.1336,1.928,1.6487,0.7422,69.62,51.03
"50%","2.5 Hours","Across","12 Weeks","2/8",66,96,56,52,50,0.5316,0.5526,0.1283,0.1482,2.2561,1.5841,0.8005,66.64,65.1
"10%","1 Hour","Within","12 Weeks","2/8",44,86,34,34,31,0.2478,0.2699,0.0903,0.1005,1.3803,0.6977,0.5679,71.98,54.19
"20%","1 Hour","Within","12 Weeks","2/8",48,87,38,36,34,0.257,0.2808,0.0981,0.106,1.4641,0.9386,0.6188,70.61,58.67
