"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","1.5 Hours","Across","10 Weeks","3/8",53,93,42,42,38,0.3676,0.3873,0.0996,0.1175,1.7682,0.8615,0.644,70.51,49.34
"20%","1.5 Hours","Across","10 Weeks","3/8",58,94,48,45,43,0.3871,0.4091,0.1096,0.124,1.8497,1.1431,0.7047,68.95,53.94
"30%","1.5 Hours","Across","10 Weeks","3/8",61,94,50,47,45,0.3966,0.4201,0.1156,0.1273,1.8846,1.3067,0.7401,68.09,55.96
"40%","1.5 Hours","Across","10 Weeks","3/8",62,95,52,48,46,0.4031,0.4276,0.1203,0.1296,1.9078,1.4329,0.7637,67.54,57.13
"50%","1 Hour","Within","6 Weeks","2/8",63,98,54,50,49,0.3159,0.3427,0.1128,0.111,1.5008,1.4278,0.6526,71.53,50.64
"50%","1.5 Hours","Across","10 Weeks","3/8",63,95,53,48,47,0.4077,0.433,0.124,0.1313,1.9249,1.5308,0.782,67.13,57.93
"10%","2 Hours","Across","10 Weeks","3/8",54,93,44,43,39,0.4222,0.4403,0.1009,0.126,1.959,0.8732,0.6485,70.44,50.38
"20%","2 Hours","Across","10 Weeks","3/8",60,94,49,47,44,0.4467,0.4665,0.1111,0.1331,2.0436,1.1549,0.7091,68.86,55.28
"30%","2 Hours","Across","10 Weeks","3/8",62,95,52,48,46,0.4586,0.4798,0.1173,0.1368,2.0803,1.3228,0.746,67.95,57.41
"40%","2 Hours","Across","10 Weeks","3/8",63,95,53,49,48,0.4669,0.4889,0.122,0.1393,2.104,1.4487,0.7704,67.39,58.67
"50%","2 Hours","Across","10 Weeks","3/8",64,95,54,50,49,0.4727,0.4955,0.1257,0.1412,2.1208,1.5493,0.7885,66.97,59.52
"10%","2.5 Hours","Across","10 Weeks","3/8",54,93,44,43,40,0.4592,0.4763,0.1017,0.131,2.0777,0.8814,0.651,70.37,51
"20%","2.5 Hours","Across","10 Weeks","3/8",60,94,50,47,45,0.4874,0.5061,0.112,0.1386,2.1688,1.1674,0.7124,68.74,56.03
"30%","2.5 Hours","Across","10 Weeks","3/8",63,95,52,49,47,0.5011,0.521,0.1183,0.1426,2.206,1.3377,0.7503,67.83,58.21
"40%","2.5 Hours","Across","10 Weeks","3/8",64,95,54,50,48,0.5105,0.5312,0.1231,0.1451,2.2275,1.4639,0.7752,67.26,59.5
"10%","1.5 Hours","Within","6 Weeks","2/8",58,97,48,46,44,0.3419,0.361,0.091,0.1075,1.5166,0.7877,0.5408,74.18,45.16
"50%","2.5 Hours","Across","10 Weeks","3/8",65,95,55,51,49,0.517,0.5384,0.127,0.147,2.2449,1.5667,0.793,66.84,60.4
"10%","1 Hour","Within","10 Weeks","3/8",42,85,33,32,30,0.2419,0.2639,0.089,0.0995,1.3618,0.678,0.5576,72.23,49.08
"20%","1 Hour","Within","10 Weeks","3/8",47,86,37,35,33,0.2512,0.2748,0.0967,0.105,1.4485,0.9159,0.6075,70.88,53.15
"30%","1 Hour","Within","10 Weeks","3/8",48,87,38,36,35,0.2558,0.2808,0.1016,0.1086,1.4978,1.0656,0.6367,70.1,54.95
"40%","1 Hour","Within","10 Weeks","3/8",49,87,39,37,35,0.259,0.2849,0.1051,0.1109,1.5318,1.1717,0.6544,69.66,56.01
"50%","1 Hour","Within","10 Weeks","3/8",50,87,40,37,36,0.2611,0.2874,0.1076,0.1126,1.557,1.2459,0.6663,69.38,56.66
"10%","1.5 Hours","Within","10 Weeks","3/8",44,85,35,34,31,0.2905,0.3111,0.0908,0.1086,1.58,0.6938,0.5668,71.96,50.8
"20%","1.5 Hours","Within","10 Weeks","3/8",49,87,38,37,35,0.3047,0.3266,0.0989,0.1151,1.6812,0.9389,0.6176,70.58,55.27
"30%","1.5 Hours","Within","10 Weeks","3/8",50,88,40,38,36,0.312,0.335,0.1042,0.1191,1.7346,1.0941,0.6484,69.78,57.28
"40%","1.5 Hours","Within","10 Weeks","3/8",51,88,41,39,37,0.3169,0.3405,0.1078,0.1216,1.7698,1.2028,0.6666,69.34,58.47
"20%","1.5 Hours","Within","6 Weeks","2/8",62,98,52,49,47,0.3623,0.3831,0.1002,0.1138,1.6066,1.0523,0.5939,72.81,49.34
"50%","1.5 Hours","Within","10 Weeks","3/8",52,88,42,39,38,0.32,0.344,0.1104,0.1234,1.7961,1.2814,0.6791,69.04,59.23
"10%","2 Hours","Within","10 Weeks","3/8",45,86,35,35,32,0.3234,0.3431,0.0918,0.1141,1.7195,0.702,0.5711,71.85,51.57
"20%","2 Hours","Within","10 Weeks","3/8",49,87,39,38,35,0.3412,0.3622,0.1001,0.1211,1.8246,0.9522,0.6225,70.46,56.22
"30%","2 Hours","Within","10 Weeks","3/8",51,88,41,39,37,0.3505,0.3724,0.1055,0.1253,1.8794,1.1097,0.6536,69.65,58.34
"40%","2 Hours","Within","10 Weeks","3/8",52,88,42,39,38,0.3567,0.3791,0.1092,0.1281,1.9162,1.2205,0.6724,69.18,59.61
"50%","2 Hours","Within","10 Weeks","3/8",53,89,43,40,38,0.3606,0.3834,0.1119,0.13,1.944,1.2993,0.6854,68.87,60.41
"10%","2.5 Hours","Within","10 Weeks","3/8",45,86,35,35,32,0.3468,0.3658,0.0924,0.1173,1.8031,0.7062,0.5726,71.79,51.95
"20%","2.5 Hours","Within","10 Weeks","3/8",50,88,40,38,36,0.3669,0.3871,0.1007,0.1246,1.9128,0.9589,0.6246,70.39,56.71
"30%","2.5 Hours","Within","10 Weeks","3/8",52,88,41,39,37,0.3774,0.3985,0.1062,0.129,1.9692,1.1181,0.6563,69.57,58.9
"40%","2.5 Hours","Within","10 Weeks","3/8",52,89,42,40,38,0.3846,0.4061,0.11,0.1318,2.0063,1.2299,0.6755,69.1,60.2
"30%","1.5 Hours","Within","6 Weeks","2/8",64,98,54,50,49,0.3726,0.3948,0.1063,0.1174,1.6509,1.2181,0.6244,72.11,51.19
"50%","2.5 Hours","Within","10 Weeks","3/8",53,89,43,40,39,0.3893,0.4111,0.1128,0.1338,2.0333,1.309,0.6889,68.78,61.02
"10%","1 Hour","Across","12 Weeks","3/8",48,88,38,38,34,0.2866,0.3087,0.0979,0.1059,1.5214,0.84,0.6409,70.55,50.67
"20%","1 Hour","Across","12 Weeks","3/8",53,90,43,41,38,0.2972,0.3223,0.107,0.111,1.5906,1.1067,0.6974,69.07,55.06
"30%","1 Hour","Across","12 Weeks","3/8",55,91,45,42,40,0.3024,0.3292,0.1126,0.1142,1.6291,1.2703,0.7306,68.27,57.02
"40%","1 Hour","Across","12 Weeks","3/8",56,91,46,43,41,0.3063,0.3341,0.1167,0.1164,1.6547,1.3875,0.7518,67.78,58.05
"50%","1 Hour","Across","12 Weeks","3/8",57,91,47,43,42,0.3089,0.3379,0.1204,0.1182,1.6804,1.4913,0.7695,67.34,58.74
"10%","1.5 Hours","Across","12 Weeks","3/8",51,89,40,40,36,0.3609,0.3807,0.1001,0.1188,1.8123,0.8665,0.652,70.32,53.04
"20%","1.5 Hours","Across","12 Weeks","3/8",56,91,45,43,41,0.3776,0.3996,0.1095,0.1248,1.8841,1.1433,0.7109,68.81,57.84
"30%","1.5 Hours","Across","12 Weeks","3/8",58,91,48,45,43,0.3872,0.4105,0.1156,0.1287,1.925,1.312,0.7449,67.99,60.02
"40%","1.5 Hours","Across","12 Weeks","3/8",60,92,49,46,44,0.3931,0.417,0.1197,0.1311,1.9492,1.4305,0.7669,67.47,61.12
"40%","1.5 Hours","Within","6 Weeks","2/8",64,98,55,51,50,0.379,0.4024,0.1112,0.1199,1.6834,1.3502,0.6465,71.63,52.28
"50%","1.5 Hours","Across","12 Weeks","3/8",60,92,50,46,45,0.3976,0.4223,0.1233,0.133,1.9721,1.5321,0.7852,67.03,61.95
"10%","2 Hours","Across","12 Weeks","3/8",52,90,41,41,37,0.4138,0.4318,0.1013,0.1271,2.0075,0.8813,0.6566,70.2,54.16
"20%","2 Hours","Across","12 Weeks","3/8",57,91,47,45,42,0.4365,0.4565,0.111,0.1339,2.0879,1.1627,0.7172,68.67,59.18
"30%","2 Hours","Across","12 Weeks","3/8",60,92,49,46,44,0.4479,0.4691,0.1172,0.1379,2.1277,1.3349,0.7512,67.84,61.5
"40%","2 Hours","Across","12 Weeks","3/8",61,92,51,47,45,0.4559,0.4775,0.1216,0.1407,2.1543,1.4572,0.7739,67.29,62.73
"50%","2 Hours","Across","12 Weeks","3/8",62,92,52,48,46,0.4613,0.4836,0.1252,0.1427,2.175,1.56,0.7924,66.86,63.65
"10%","2.5 Hours","Across","12 Weeks","3/8",52,90,42,41,38,0.4513,0.4683,0.1021,0.1321,2.1323,0.8899,0.6596,70.12,54.8
"20%","2.5 Hours","Across","12 Weeks","3/8",58,91,47,45,43,0.4773,0.4961,0.1119,0.1392,2.215,1.1729,0.7198,68.58,59.97
"30%","2.5 Hours","Across","12 Weeks","3/8",60,92,50,47,45,0.4906,0.5105,0.1181,0.1434,2.2531,1.3456,0.754,67.76,62.33
"40%","2.5 Hours","Across","12 Weeks","3/8",62,92,51,48,46,0.4999,0.5201,0.1225,0.1462,2.2772,1.468,0.7769,67.22,63.61
"30%","1 Hour","Across","6 Weeks","2/8",67,99,58,54,53,0.3686,0.3964,0.1172,0.1086,1.4847,1.4318,0.6977,70.69,46.22
"50%","1.5 Hours","Within","6 Weeks","2/8",65,98,56,51,51,0.3838,0.4082,0.1154,0.1222,1.712,1.4642,0.6633,71.29,52.99
"50%","2.5 Hours","Across","12 Weeks","3/8",62,93,52,48,47,0.5059,0.5266,0.1263,0.1483,2.2994,1.5744,0.796,66.78,64.57
"10%","1 Hour","Within","12 Weeks","3/8",39,78,30,29,27,0.2388,0.261,0.0895,0.1005,1.3913,0.6753,0.5676,71.93,52.72
"20%","1 Hour","Within","12 Weeks","3/8",43,81,34,32,30,0.248,0.272,0.0974,0.1064,1.4789,0.92,0.6193,70.56,56.78
"30%","1 Hour","Within","12 Weeks","3/8",44,81,35,33,32,0.2523,0.2774,0.102,0.1098,1.5289,1.0659,0.6463,69.87,58.6
"40%","1 Hour","Within","12 Weeks","3/8",45,82,36,34,32,0.2554,0.2812,0.1054,0.1122,1.5632,1.1706,0.6645,69.42,59.73
"50%","1 Hour","Within","12 Weeks","3/8",46,82,37,34,33,0.2574,0.2838,0.108,0.1141,1.5896,1.2516,0.6763,69.12,60.44
"10%","1.5 Hours","Within","12 Weeks","3/8",40,79,31,31,28,0.287,0.3078,0.0915,0.1096,1.6126,0.6927,0.5778,71.63,54.57
"20%","1.5 Hours","Within","12 Weeks","3/8",45,82,35,34,32,0.2998,0.3221,0.0997,0.1163,1.7071,0.9436,0.6292,70.27,59.05
"30%","1.5 Hours","Within","12 Weeks","3/8",47,82,37,35,33,0.3072,0.3302,0.1045,0.1201,1.7604,1.0931,0.6575,69.55,61.05
"40%","1.5 Hours","Within","12 Weeks","3/8",48,83,38,36,34,0.3115,0.335,0.108,0.1226,1.7944,1.2003,0.6762,69.09,62.36
"10%","2 Hours","Within","6 Weeks","2/8",58,97,49,47,44,0.3716,0.3903,0.0917,0.1111,1.6019,0.7937,0.5443,74.08,45.86
"50%","1.5 Hours","Within","12 Weeks","3/8",48,83,39,36,35,0.3144,0.3384,0.1107,0.1245,1.8215,1.2842,0.6886,68.78,63.15
"10%","2 Hours","Within","12 Weeks","3/8",41,80,32,32,29,0.3199,0.3398,0.0925,0.1151,1.7531,0.6991,0.5822,71.51,55.31
"20%","2 Hours","Within","12 Weeks","3/8",46,82,36,35,32,0.3359,0.3572,0.101,0.1224,1.8575,0.9558,0.6346,70.12,60.03
"30%","2 Hours","Within","12 Weeks","3/8",47,83,38,36,34,0.3446,0.3665,0.1058,0.1263,1.9108,1.1058,0.6632,69.4,62.15
"40%","2 Hours","Within","12 Weeks","3/8",48,83,39,36,35,0.3502,0.3725,0.1093,0.129,1.947,1.2157,0.6818,68.93,63.53
"50%","2 Hours","Within","12 Weeks","3/8",49,84,39,37,35,0.3539,0.3766,0.1121,0.1309,1.9743,1.3008,0.6945,68.62,64.36
"10%","2.5 Hours","Within","12 Weeks","3/8",41,80,32,32,29,0.343,0.3623,0.0932,0.1184,1.8391,0.7046,0.5843,71.44,55.75
"20%","2.5 Hours","Within","12 Weeks","3/8",46,82,36,35,33,0.3617,0.3821,0.1016,0.1259,1.9457,0.963,0.6365,70.06,60.55
"30%","2.5 Hours","Within","12 Weeks","3/8",48,83,38,36,34,0.3715,0.3925,0.1065,0.13,1.9997,1.1151,0.666,69.33,62.74
"40%","2.5 Hours","Within","12 Weeks","3/8",49,83,39,37,35,0.3778,0.3992,0.1101,0.1327,2.0366,1.2257,0.6848,68.85,64.14
"20%","2 Hours","Within","6 Weeks","2/8",63,98,53,50,48,0.3948,0.4151,0.101,0.1178,1.6946,1.0609,0.5977,72.69,50.23
"50%","2.5 Hours","Within","12 Weeks","3/8",49,84,40,37,36,0.3824,0.4041,0.1129,0.1348,2.0644,1.3112,0.6978,68.54,64.99
"10%","1 Hour","Across","6 Weeks","4/8",47,89,37,37,34,0.268,0.2904,0.0935,0.1022,1.456,0.7826,0.6094,71.23,34.73
"20%","1 Hour","Across","6 Weeks","4/8",52,91,41,40,37,0.2784,0.303,0.1017,0.1072,1.5258,1.033,0.662,69.8,37.76
"30%","1 Hour","Across","6 Weeks","4/8",54,91,43,41,39,0.2839,0.31,0.1072,0.1103,1.5659,1.1925,0.6947,69.04,39.03
"40%","1 Hour","Across","6 Weeks","4/8",55,92,44,41,40,0.2871,0.3144,0.1113,0.1125,1.5921,1.3075,0.716,68.53,39.72
"50%","1 Hour","Across","6 Weeks","4/8",55,92,45,42,41,0.2895,0.3177,0.1146,0.1143,1.6166,1.3997,0.7328,68.16,40.19
"10%","1.5 Hours","Across","6 Weeks","4/8",49,90,39,38,35,0.3334,0.3535,0.0958,0.1141,1.7262,0.809,0.622,70.97,36.14
"20%","1.5 Hours","Across","6 Weeks","4/8",54,91,44,42,39,0.349,0.3708,0.1045,0.1199,1.8002,1.0702,0.6757,69.53,39.45
"30%","1.5 Hours","Across","6 Weeks","4/8",56,92,46,43,41,0.3578,0.3807,0.1102,0.1235,1.8421,1.2341,0.7081,68.75,40.88
"40%","1.5 Hours","Across","6 Weeks","4/8",58,92,47,44,42,0.3629,0.3869,0.1144,0.1259,1.8695,1.3547,0.7303,68.22,41.67
"30%","2 Hours","Within","6 Weeks","2/8",64,98,55,51,50,0.4065,0.4282,0.1072,0.1215,1.74,1.2288,0.6287,71.99,52.17
"50%","1.5 Hours","Across","6 Weeks","4/8",58,92,48,44,43,0.3669,0.3915,0.1178,0.1278,1.8923,1.4491,0.7482,67.84,42.19
"10%","2 Hours","Across","6 Weeks","4/8",50,90,40,39,36,0.3807,0.3994,0.097,0.1215,1.9055,0.8239,0.6272,70.85,36.81
"20%","2 Hours","Across","6 Weeks","4/8",55,92,45,43,40,0.4001,0.4205,0.106,0.128,1.9821,1.09,0.6814,69.4,40.31
"30%","2 Hours","Across","6 Weeks","4/8",58,92,47,44,42,0.4111,0.4324,0.1118,0.1319,2.0234,1.2541,0.7149,68.59,41.79
"40%","2 Hours","Across","6 Weeks","4/8",59,93,48,45,43,0.4181,0.4403,0.1162,0.1344,2.0503,1.3771,0.7377,68.06,42.64
"50%","2 Hours","Across","6 Weeks","4/8",59,93,49,45,44,0.4231,0.4457,0.1197,0.1365,2.072,1.4747,0.7558,67.67,43.19
"10%","2.5 Hours","Across","6 Weeks","4/8",51,91,40,40,36,0.4136,0.4315,0.0976,0.1259,2.0181,0.8302,0.629,70.77,37.19
"20%","2.5 Hours","Across","6 Weeks","4/8",56,92,45,43,41,0.4363,0.4557,0.1067,0.1327,2.0998,1.1,0.6837,69.31,40.77
"30%","2.5 Hours","Across","6 Weeks","4/8",58,93,47,45,43,0.449,0.4692,0.1127,0.1369,2.144,1.2674,0.7179,68.49,42.3
"40%","2.5 Hours","Across","6 Weeks","4/8",59,93,49,46,44,0.4573,0.4783,0.1171,0.1395,2.1688,1.3905,0.7408,67.95,43.18
"40%","2 Hours","Within","6 Weeks","2/8",65,98,56,52,51,0.4137,0.4366,0.1122,0.1242,1.7743,1.365,0.6513,71.51,53.33
"50%","2.5 Hours","Across","6 Weeks","4/8",60,93,50,46,45,0.4633,0.4848,0.1208,0.1417,2.1909,1.4894,0.7589,67.57,43.75
"10%","1 Hour","Within","6 Weeks","4/8",34,80,27,26,24,0.2193,0.2408,0.0831,0.0936,1.2586,0.6038,0.522,73.25,35.45
"20%","1 Hour","Within","6 Weeks","4/8",38,82,30,29,27,0.2287,0.2517,0.0905,0.0996,1.3504,0.8339,0.5699,71.96,37.72
"30%","1 Hour","Within","6 Weeks","4/8",40,83,31,30,28,0.2333,0.2575,0.0951,0.103,1.3994,0.9669,0.5979,71.28,38.7
"40%","1 Hour","Within","6 Weeks","4/8",41,83,32,30,29,0.2363,0.261,0.0983,0.1053,1.4326,1.0634,0.6151,70.86,39.27
"50%","1 Hour","Within","6 Weeks","4/8",41,84,33,31,29,0.2384,0.2635,0.1006,0.107,1.4581,1.1347,0.6261,70.62,39.64
"10%","1.5 Hours","Within","6 Weeks","4/8",36,81,28,27,25,0.2619,0.2823,0.0853,0.1022,1.4593,0.622,0.5318,72.9,36.25
"20%","1.5 Hours","Within","6 Weeks","4/8",40,83,31,30,28,0.2749,0.2966,0.0932,0.109,1.5623,0.8616,0.5815,71.56,38.75
"30%","1.5 Hours","Within","6 Weeks","4/8",42,84,33,31,30,0.2814,0.304,0.0979,0.1126,1.611,1.0001,0.6099,70.87,39.86
"40%","1.5 Hours","Within","6 Weeks","4/8",43,84,34,32,30,0.2854,0.3085,0.1012,0.115,1.646,1.0989,0.6274,70.45,40.5
"50%","2 Hours","Within","6 Weeks","2/8",66,98,57,52,51,0.4192,0.443,0.1165,0.1266,1.8036,1.4802,0.6681,71.16,54.09
"50%","1.5 Hours","Within","6 Weeks","4/8",43,85,34,32,31,0.2884,0.3118,0.1037,0.1168,1.6717,1.1748,0.639,70.2,40.92
"10%","2 Hours","Within","6 Weeks","4/8",36,81,28,28,26,0.2889,0.3087,0.0863,0.1068,1.5758,0.6314,0.536,72.75,36.63
"20%","2 Hours","Within","6 Weeks","4/8",41,83,32,31,29,0.3047,0.3257,0.0943,0.1141,1.6865,0.875,0.5857,71.42,39.25
"30%","2 Hours","Within","6 Weeks","4/8",42,84,34,32,30,0.3132,0.3351,0.0992,0.1179,1.7405,1.017,0.6147,70.71,40.43
"40%","2 Hours","Within","6 Weeks","4/8",43,85,34,32,31,0.3182,0.3405,0.1026,0.1205,1.7764,1.1177,0.6326,70.28,41.1
"50%","2 Hours","Within","6 Weeks","4/8",44,85,35,33,32,0.3219,0.3445,0.1051,0.1224,1.8031,1.1957,0.6449,70.03,41.55
"10%","2.5 Hours","Within","6 Weeks","4/8",37,82,28,28,26,0.3079,0.3274,0.0868,0.1095,1.648,0.6352,0.5382,72.67,36.83
"20%","2.5 Hours","Within","6 Weeks","4/8",41,84,32,31,29,0.3258,0.3463,0.0949,0.117,1.7609,0.8811,0.5882,71.33,39.52
"30%","2.5 Hours","Within","6 Weeks","4/8",43,84,34,32,31,0.3352,0.3566,0.0999,0.1209,1.8154,1.0246,0.6178,70.62,40.72
"40%","2.5 Hours","Within","6 Weeks","4/8",44,85,35,33,31,0.3413,0.363,0.1033,0.1236,1.8526,1.1266,0.6361,70.19,41.41
"10%","2.5 Hours","Within","6 Weeks","2/8",59,97,49,47,44,0.3861,0.4047,0.092,0.1124,1.6326,0.797,0.5458,74.04,46.19
"50%","2.5 Hours","Within","6 Weeks","4/8",44,85,35,33,32,0.3455,0.3674,0.1059,0.1255,1.8787,1.2048,0.6484,69.94,41.88
"10%","1 Hour","Across","8 Weeks","4/8",46,85,36,35,32,0.268,0.291,0.095,0.105,1.5,0.802,0.624,70.9,39.2
"20%","1 Hour","Across","8 Weeks","4/8",50,87,40,38,36,0.278,0.303,0.104,0.11,1.574,1.06,0.676,69.5,42.5
"30%","1 Hour","Across","8 Weeks","4/8",52,88,42,39,38,0.282,0.309,0.109,0.113,1.612,1.219,0.708,68.7,43.9
"40%","1 Hour","Across","8 Weeks","4/8",53,88,43,40,38,0.286,0.313,0.112,0.115,1.64,1.328,0.727,68.3,44.7
"50%","1 Hour","Across","8 Weeks","4/8",54,88,44,40,39,0.288,0.316,0.116,0.117,1.667,1.424,0.744,67.9,45.2
"10%","1.5 Hours","Across","8 Weeks","4/8",48,86,38,37,34,0.333,0.354,0.097,0.116,1.777,0.826,0.634,70.7,40.8
"20%","1.5 Hours","Across","8 Weeks","4/8",53,88,42,40,38,0.349,0.371,0.106,0.122,1.852,1.095,0.69,69.2,44.4
"30%","1.5 Hours","Across","8 Weeks","4/8",55,89,44,42,40,0.356,0.38,0.112,0.126,1.892,1.259,0.722,68.4,46
"40%","1.5 Hours","Across","8 Weeks","4/8",56,89,45,42,41,0.362,0.386,0.116,0.129,1.922,1.377,0.742,67.9,46.8
"20%","2.5 Hours","Within","6 Weeks","2/8",63,98,53,50,48,0.4108,0.4308,0.1013,0.1191,1.7268,1.0651,0.5995,72.64,50.66
"50%","1.5 Hours","Across","8 Weeks","4/8",57,90,46,43,41,0.366,0.39,0.119,0.131,1.945,1.475,0.76,67.5,47.4
"10%","2 Hours","Across","8 Weeks","4/8",49,87,38,38,35,0.381,0.4,0.099,0.124,1.964,0.841,0.64,70.5,41.6
"20%","2 Hours","Across","8 Weeks","4/8",54,89,43,41,39,0.401,0.422,0.108,0.131,2.047,1.115,0.698,69,45.3
"30%","2 Hours","Across","8 Weeks","4/8",56,90,45,43,41,0.411,0.433,0.113,0.134,2.086,1.28,0.729,68.2,47
"40%","2 Hours","Across","8 Weeks","4/8",57,90,47,43,42,0.418,0.44,0.117,0.137,2.112,1.398,0.75,67.7,47.9
"50%","2 Hours","Across","8 Weeks","4/8",58,90,47,44,43,0.423,0.445,0.121,0.139,2.138,1.498,0.767,67.4,48.5
"10%","2.5 Hours","Across","8 Weeks","4/8",49,87,39,38,35,0.414,0.432,0.099,0.128,2.081,0.85,0.642,70.4,42
"20%","2.5 Hours","Across","8 Weeks","4/8",54,89,44,42,39,0.438,0.457,0.109,0.136,2.17,1.128,0.7,68.9,45.8
"30%","2.5 Hours","Across","8 Weeks","4/8",56,90,46,43,41,0.45,0.47,0.114,0.139,2.207,1.296,0.733,68.1,47.5
"40%","2.5 Hours","Across","8 Weeks","4/8",58,90,47,44,42,0.458,0.478,0.118,0.142,2.233,1.414,0.753,67.6,48.5
"30%","2.5 Hours","Within","6 Weeks","2/8",64,98,55,51,50,0.4232,0.4447,0.1076,0.1229,1.7735,1.2338,0.6307,71.94,52.65
"50%","2.5 Hours","Across","8 Weeks","4/8",58,90,48,45,43,0.463,0.484,0.122,0.144,2.258,1.518,0.771,67.2,49.1
"10%","1 Hour","Within","8 Weeks","4/8",32,74,25,24,22,0.219,0.241,0.085,0.095,1.293,0.612,0.539,72.7,39.7
"20%","1 Hour","Within","8 Weeks","4/8",36,76,28,27,25,0.228,0.252,0.092,0.101,1.379,0.842,0.587,71.5,42.1
"30%","1 Hour","Within","8 Weeks","4/8",38,77,29,28,26,0.232,0.257,0.097,0.105,1.426,0.977,0.615,70.8,43.2
"40%","1 Hour","Within","8 Weeks","4/8",38,78,30,28,27,0.235,0.261,0.1,0.107,1.461,1.076,0.631,70.4,43.8
"50%","1 Hour","Within","8 Weeks","4/8",39,78,31,29,28,0.237,0.263,0.102,0.109,1.488,1.149,0.644,70.2,44.3
"10%","1.5 Hours","Within","8 Weeks","4/8",33,75,26,26,23,0.261,0.282,0.087,0.104,1.501,0.631,0.55,72.4,40.7
"20%","1.5 Hours","Within","8 Weeks","4/8",38,77,29,28,26,0.274,0.296,0.095,0.111,1.6,0.87,0.599,71.1,43.3
"30%","1.5 Hours","Within","8 Weeks","4/8",39,79,31,29,28,0.281,0.304,0.099,0.115,1.648,1.01,0.627,70.4,44.5
"40%","1.5 Hours","Within","8 Weeks","4/8",40,79,32,30,29,0.285,0.308,0.103,0.117,1.684,1.114,0.644,70,45.3
"40%","2.5 Hours","Within","6 Weeks","2/8",65,98,56,52,51,0.4309,0.4535,0.1126,0.1257,1.808,1.3707,0.6533,71.45,53.84
"50%","1.5 Hours","Within","8 Weeks","4/8",41,79,32,30,29,0.288,0.311,0.105,0.119,1.711,1.19,0.658,69.7,45.7
"10%","2 Hours","Within","8 Weeks","4/8",34,75,26,26,24,0.289,0.309,0.088,0.109,1.623,0.638,0.554,72.2,41.1
"20%","2 Hours","Within","8 Weeks","4/8",38,78,30,29,27,0.304,0.326,0.096,0.116,1.732,0.881,0.604,70.9,43.9
"30%","2 Hours","Within","8 Weeks","4/8",40,79,31,30,28,0.312,0.335,0.101,0.12,1.781,1.025,0.633,70.2,45.1
"40%","2 Hours","Within","8 Weeks","4/8",41,79,32,31,29,0.318,0.34,0.104,0.123,1.817,1.129,0.65,69.8,45.9
"50%","2 Hours","Within","8 Weeks","4/8",42,80,33,31,30,0.321,0.344,0.107,0.125,1.844,1.21,0.663,69.5,46.4
"10%","2.5 Hours","Within","8 Weeks","4/8",34,75,26,26,24,0.309,0.329,0.088,0.112,1.702,0.641,0.556,72.1,41.4
"20%","2.5 Hours","Within","8 Weeks","4/8",39,78,30,29,27,0.326,0.347,0.096,0.119,1.814,0.887,0.606,70.8,44.2
"30%","2.5 Hours","Within","8 Weeks","4/8",41,79,32,30,29,0.336,0.357,0.101,0.123,1.866,1.032,0.636,70.1,45.5
"40%","2.5 Hours","Within","8 Weeks","4/8",41,80,33,31,30,0.342,0.364,0.105,0.126,1.904,1.138,0.653,69.7,46.3
"40%","1 Hour","Across","6 Weeks","2/8",68,99,60,55,54,0.3728,0.4026,0.123,0.1105,1.5086,1.5855,0.7216,70.17,47.09
"50%","2.5 Hours","Within","6 Weeks","2/8",66,98,57,52,52,0.4367,0.4602,0.1169,0.1281,1.8387,1.4862,0.6701,71.1,54.63
"50%","2.5 Hours","Within","8 Weeks","4/8",42,80,33,31,30,0.347,0.368,0.107,0.128,1.931,1.219,0.667,69.4,46.7
"10%","1 Hour","Across","10 Weeks","4/8",44,82,35,34,31,0.27,0.293,0.097,0.107,1.543,0.826,0.635,70.6,44.5
"20%","1 Hour","Across","10 Weeks","4/8",49,84,39,37,35,0.28,0.305,0.105,0.112,1.614,1.076,0.686,69.2,48.2
"30%","1 Hour","Across","10 Weeks","4/8",51,85,41,38,36,0.285,0.311,0.11,0.115,1.657,1.241,0.717,68.5,49.8
"40%","1 Hour","Across","10 Weeks","4/8",52,85,42,39,37,0.288,0.316,0.114,0.118,1.689,1.347,0.736,68,50.8
"50%","1 Hour","Across","10 Weeks","4/8",52,86,42,39,38,0.291,0.319,0.117,0.119,1.713,1.436,0.752,67.6,51.4
"10%","1.5 Hours","Across","10 Weeks","4/8",46,83,36,36,33,0.337,0.358,0.099,0.119,1.839,0.854,0.645,70.3,46.4
"20%","1.5 Hours","Across","10 Weeks","4/8",52,85,41,39,37,0.352,0.374,0.108,0.125,1.906,1.109,0.699,68.9,50.6
"30%","1.5 Hours","Across","10 Weeks","4/8",54,86,43,40,39,0.36,0.383,0.113,0.129,1.949,1.277,0.731,68.2,52.4
"40%","1.5 Hours","Across","10 Weeks","4/8",55,86,44,41,40,0.365,0.389,0.117,0.131,1.978,1.394,0.752,67.6,53.4
"10%","1 Hour","Across","8 Weeks","2/8",53,95,43,42,39,0.2965,0.3191,0.0965,0.1003,1.3875,0.828,0.6181,71.3,43.08
